start
Vertice: 19663, Nivel: 108, Pai: 203
Vertice: 19753, Nivel: 108, Pai: 203
Vertice: 19597, Nivel: 108, Pai: 203
Vertice: 7339, Nivel: 108, Pai: 203
Vertice: 246, Nivel: 109, Pai: 7339
Vertice: 19, Nivel: 110, Pai: 246
Vertice: 181, Nivel: 111, Pai: 19
Vertice: 3439, Nivel: 112, Pai: 181
Vertice: 42, Nivel: 113, Pai: 3439
Vertice: 10199, Nivel: 114, Pai: 42
Vertice: 965, Nivel: 114, Pai: 42
Vertice: 30694, Nivel: 115, Pai: 965
Vertice: 27902, Nivel: 115, Pai: 965
Vertice: 10545, Nivel: 115, Pai: 965
Vertice: 4440, Nivel: 115, Pai: 965
Vertice: 512, Nivel: 116, Pai: 4440
Vertice: 19531, Nivel: 117, Pai: 512
Vertice: 21414, Nivel: 117, Pai: 512
Vertice: 8033, Nivel: 117, Pai: 512
Vertice: 23, Nivel: 118, Pai: 8033
Vertice: 3197, Nivel: 119, Pai: 23
Vertice: 27, Nivel: 120, Pai: 3197
Vertice: 1722, Nivel: 121, Pai: 27
Vertice: 3314, Nivel: 121, Pai: 27
Vertice: 87, Nivel: 122, Pai: 3314
Vertice: 60, Nivel: 123, Pai: 87
Vertice: 43, Nivel: 124, Pai: 60
Vertice: 6387, Nivel: 125, Pai: 43
Vertice: 50, Nivel: 126, Pai: 6387
Vertice: 1392, Nivel: 127, Pai: 50
Vertice: 10853, Nivel: 128, Pai: 1392
Vertice: 74, Nivel: 129, Pai: 10853
Vertice: 11618, Nivel: 130, Pai: 74
Vertice: 832, Nivel: 131, Pai: 11618
Vertice: 362, Nivel: 132, Pai: 832
Vertice: 1726, Nivel: 133, Pai: 362
Vertice: 10432, Nivel: 134, Pai: 1726
Vertice: 28001, Nivel: 134, Pai: 1726
Vertice: 13055, Nivel: 134, Pai: 1726
Vertice: 10863, Nivel: 134, Pai: 1726
Vertice: 3298, Nivel: 133, Pai: 362
Vertice: 8708, Nivel: 134, Pai: 3298
Vertice: 28278, Nivel: 134, Pai: 3298
Vertice: 5935, Nivel: 133, Pai: 362
Vertice: 9387, Nivel: 134, Pai: 5935
Vertice: 2261, Nivel: 135, Pai: 9387
Vertice: 24587, Nivel: 136, Pai: 2261
Vertice: 15980, Nivel: 136, Pai: 2261
Vertice: 6308, Nivel: 133, Pai: 362
Vertice: 15778, Nivel: 134, Pai: 6308
Vertice: 1770, Nivel: 133, Pai: 362
Vertice: 19360, Nivel: 134, Pai: 1770
Vertice: 5928, Nivel: 134, Pai: 1770
Vertice: 85, Nivel: 135, Pai: 5928
Vertice: 1875, Nivel: 136, Pai: 85
Vertice: 388, Nivel: 137, Pai: 1875
Vertice: 7201, Nivel: 138, Pai: 388
Vertice: 45, Nivel: 139, Pai: 7201
Vertice: 398, Nivel: 140, Pai: 45
Vertice: 15615, Nivel: 141, Pai: 398
Vertice: 17643, Nivel: 141, Pai: 398
Vertice: 7299, Nivel: 141, Pai: 398
Vertice: 139, Nivel: 142, Pai: 7299
Vertice: 7992, Nivel: 143, Pai: 139
Vertice: 9605, Nivel: 143, Pai: 139
Vertice: 3010, Nivel: 144, Pai: 9605
Vertice: 63, Nivel: 145, Pai: 3010
Vertice: 10147, Nivel: 146, Pai: 63
Vertice: 9011, Nivel: 146, Pai: 63
Vertice: 2273, Nivel: 147, Pai: 9011
Vertice: 9593, Nivel: 146, Pai: 63
Vertice: 14503, Nivel: 146, Pai: 63
Vertice: 7324, Nivel: 146, Pai: 63
Vertice: 7219, Nivel: 146, Pai: 63
Vertice: 21532, Nivel: 146, Pai: 63
Vertice: 22635, Nivel: 146, Pai: 63
Vertice: 9008, Nivel: 146, Pai: 63
Vertice: 24303, Nivel: 146, Pai: 63
Vertice: 7337, Nivel: 146, Pai: 63
Vertice: 24565, Nivel: 146, Pai: 63
Vertice: 26393, Nivel: 146, Pai: 63
Vertice: 10460, Nivel: 146, Pai: 63
Vertice: 27266, Nivel: 146, Pai: 63
Vertice: 26215, Nivel: 146, Pai: 63
Vertice: 4285, Nivel: 146, Pai: 63
Vertice: 3461, Nivel: 147, Pai: 4285
Vertice: 27343, Nivel: 148, Pai: 3461
Vertice: 27966, Nivel: 146, Pai: 63
Vertice: 27828, Nivel: 146, Pai: 63
Vertice: 27711, Nivel: 146, Pai: 63
Vertice: 29290, Nivel: 146, Pai: 63
Vertice: 28785, Nivel: 146, Pai: 63
Vertice: 30670, Nivel: 146, Pai: 63
Vertice: 11377, Nivel: 146, Pai: 63
Vertice: 30712, Nivel: 146, Pai: 63
Vertice: 32003, Nivel: 146, Pai: 63
Vertice: 31673, Nivel: 146, Pai: 63
Vertice: 31275, Nivel: 146, Pai: 63
Vertice: 31064, Nivel: 146, Pai: 63
Vertice: 31046, Nivel: 146, Pai: 63
Vertice: 30576, Nivel: 146, Pai: 63
Vertice: 27172, Nivel: 146, Pai: 63
Vertice: 21732, Nivel: 146, Pai: 63
Vertice: 15684, Nivel: 146, Pai: 63
Vertice: 5924, Nivel: 146, Pai: 63
Vertice: 15933, Nivel: 146, Pai: 63
Vertice: 17905, Nivel: 146, Pai: 63
Vertice: 331, Nivel: 146, Pai: 63
Vertice: 31, Nivel: 147, Pai: 331
Vertice: 823, Nivel: 148, Pai: 31
Vertice: 36, Nivel: 149, Pai: 823
Vertice: 477, Nivel: 150, Pai: 36
Vertice: 1370, Nivel: 151, Pai: 477
Vertice: 874, Nivel: 152, Pai: 1370
Vertice: 24985, Nivel: 153, Pai: 874
Vertice: 22951, Nivel: 153, Pai: 874
Vertice: 18270, Nivel: 153, Pai: 874
Vertice: 7137, Nivel: 153, Pai: 874
Vertice: 10306, Nivel: 153, Pai: 874
Vertice: 1628, Nivel: 153, Pai: 874
Vertice: 23519, Nivel: 154, Pai: 1628
Vertice: 18349, Nivel: 154, Pai: 1628
Vertice: 6261, Nivel: 154, Pai: 1628
Vertice: 9721, Nivel: 153, Pai: 874
Vertice: 39, Nivel: 154, Pai: 9721
Vertice: 2078, Nivel: 155, Pai: 39
Vertice: 2104, Nivel: 156, Pai: 2078
Vertice: 435, Nivel: 157, Pai: 2104
Vertice: 23510, Nivel: 158, Pai: 435
Vertice: 23509, Nivel: 158, Pai: 435
Vertice: 13593, Nivel: 158, Pai: 435
Vertice: 3481, Nivel: 158, Pai: 435
Vertice: 18711, Nivel: 158, Pai: 435
Vertice: 14092, Nivel: 158, Pai: 435
Vertice: 23508, Nivel: 158, Pai: 435
Vertice: 26843, Nivel: 158, Pai: 435
Vertice: 9314, Nivel: 158, Pai: 435
Vertice: 184, Nivel: 159, Pai: 9314
Vertice: 3747, Nivel: 160, Pai: 184
Vertice: 665, Nivel: 161, Pai: 3747
Vertice: 2122, Nivel: 162, Pai: 665
Vertice: 379, Nivel: 163, Pai: 2122
Vertice: 101, Nivel: 164, Pai: 379
Vertice: 49, Nivel: 165, Pai: 101
Vertice: 1731, Nivel: 166, Pai: 49
Vertice: 4724, Nivel: 167, Pai: 1731
Vertice: 11805, Nivel: 167, Pai: 1731
Vertice: 3464, Nivel: 166, Pai: 49
Vertice: 21298, Nivel: 167, Pai: 3464
Vertice: 1406, Nivel: 166, Pai: 49
Vertice: 26239, Nivel: 167, Pai: 1406
Vertice: 22355, Nivel: 167, Pai: 1406
Vertice: 28990, Nivel: 167, Pai: 1406
Vertice: 28943, Nivel: 167, Pai: 1406
Vertice: 2347, Nivel: 166, Pai: 49
Vertice: 2462, Nivel: 166, Pai: 49
Vertice: 23904, Nivel: 167, Pai: 2462
Vertice: 7193, Nivel: 167, Pai: 2462
Vertice: 7971, Nivel: 168, Pai: 7193
Vertice: 58, Nivel: 169, Pai: 7971
Vertice: 5845, Nivel: 170, Pai: 58
Vertice: 7236, Nivel: 170, Pai: 58
Vertice: 790, Nivel: 171, Pai: 7236
Vertice: 5827, Nivel: 172, Pai: 790
Vertice: 144, Nivel: 173, Pai: 5827
Vertice: 8626, Nivel: 174, Pai: 144
Vertice: 10151, Nivel: 174, Pai: 144
Vertice: 5863, Nivel: 174, Pai: 144
Vertice: 30824, Nivel: 174, Pai: 144
